s.no,title,type,main_genre,listed_in,rating,main_country,release_year,year_added,month_added,date_added,day_of_week,duration_int,duration_type,director,cast,description
11,Bangkok Breaking,TV Show,Crime TV Shows,"Crime TV Shows, International TV Shows, TV Action & Adventure",TV-MA,various,2021,2021,9,23-09-21,Thursday,1,Season,Kongkiat Komesiri,"Sukollawat Kanarot, Sushar Manaying, Pavarit Mongkolpisit, Sahajak Boonthanakit, Suthipongse Thatphithakkul, Bhasaworn Bawronkirati, Daweerit Chullasapya, Waratthaya Wongchayaporn, Kittiphoom Wongpentak, Abhicha Thanachanun, Nophand Boonyai, Kittipong Khamsat, Arisara Wongchalee, Jaytiya Naiwattanakul, Pantipa Arunwattanachai, Panupan Jantanawong, Kungtap Saelim, Phumphat Chartsuriyakiat, Issara Veranitinunt, Keerati Sivakuae, Panjai Sirisuwan, Supranee Charoenpol, Suda Chuenban, Visaka Banhansupavat, Pitchatorn Santinatornkul","Struggling to earn a living in Bangkok, a man joins an emergency rescue service and realizes he must unravel a citywide conspiracy."
12,Je Suis Karl,Movie,Dramas,"Dramas, International Movies",TV-MA,Germany,2021,2021,9,23-09-21,Thursday,127,min,Christian Schwochow,"Luna Wedler, Jannis Niewöhner, Milan Peschel, Edin Hasanović, Anna Fialová, Marlon Boess, Victor Boccard, Fleur Geffrier, Aziz Dyab, Mélanie Fouché, Elizaveta Maximová","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
13,Confessions of an Invisible Girl,Movie,Children & Family Movies,"Children & Family Movies, Comedies",TV-PG,various,2021,2021,9,22-09-21,Wednesday,91,min,Bruno Garotti,"Klara Castanho, Lucca Picon, Júlia Gomes, Marcus Bessa, Kiria Malheiros, Fernanda Concon, Gabriel Lima, Caio Cabral, Leonardo Cidade, Jade Cardozo","When the clever but socially-awkward Tetê joins a new school, she'll do anything to fit in. But the queen bee among her classmates has other ideas."
14,Crime Stories: India Detectives,TV Show,British TV Shows,"British TV Shows, Crime TV Shows, Docuseries",TV-MA,various,2021,2021,9,22-09-21,Wednesday,1,Season,unknown,Not listed,Cameras following Bengaluru police on the job offer a rare glimpse into the complex and challenging inner workings of four major crime investigations.
15,Dear White People,TV Show,TV Comedies,"TV Comedies, TV Dramas",TV-MA,United States,2021,2021,9,22-09-21,Wednesday,4,Seasons,unknown,"Logan Browning, Brandon P. Bell, DeRon Horton, Antoinette Robertson, John Patrick Amedori, Ashley Blaine Featherson, Marque Richardson, Giancarlo Esposito","Students of color navigate the daily slights and slippery politics of life at an Ivy League college that's not nearly as ""post-racial"" as it thinks."
16,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,Documentaries,"Documentaries, International Movies",TV-MA,various,2020,2021,9,22-09-21,Wednesday,67,min,"Pedro de Echave García, Pablo Azorín Williams",Not listed,"Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
17,Falsa identidad,TV Show,Crime TV Shows,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas",TV-MA,Mexico,2020,2021,9,22-09-21,Wednesday,2,Seasons,unknown,"Luis Ernesto Franco, Camila Sodi, Sergio Goyri, Samadhi Zendejas, Eduardo Yáñez, Sonya Smith, Alejandro Camacho, Azela Robinson, Uriel del Toro, Géraldine Bazán, Gabriela Roel, Marcus Ornellas",Strangers Diego and Isabel flee their home in Mexico and pretend to be a married couple to escape his drug-dealing enemies and her abusive husband.
18,Intrusion,Movie,Thrillers,Thrillers,TV-14,various,2021,2021,9,22-09-21,Wednesday,94,min,Adam Salky,"Freida Pinto, Logan Marshall-Green, Robert John Burke, Megan Elisabeth Kelly, Sarah Minnich, Hayes Hargrove, Mark Sivertsen, Brandon Fierro, Antonio Valles, Clint Obenchain","After a deadly home invasion at a couple’s new dream house, the traumatized wife searches for answers — and learns the real danger is just beginning."
19,Jaguar,TV Show,International TV Shows,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",TV-MA,various,2021,2021,9,22-09-21,Wednesday,1,Season,unknown,"Blanca Suárez, Iván Marcos, Óscar Casas, Adrián Lastra, Francesc Garrido, Stefan Weinert, Julia Möller, Alicia Chojnowski","In the 1960s, a Holocaust survivor joins a group of self-trained spies who seek justice against Nazis fleeing to Spain to hide after WWII."
20,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Crime TV Shows,"Crime TV Shows, Docuseries, International TV Shows",TV-14,various,2021,2021,9,22-09-21,Wednesday,1,Season,Olivier Megaton,Not listed,"In the late 1970s, an accused serial rapist claims multiple personalities control his behavior, setting off a legal odyssey that captivates America."
21,Resurrection: Ertugrul,TV Show,International TV Shows,"International TV Shows, TV Action & Adventure, TV Dramas",TV-14,Turkey,2018,2021,9,22-09-21,Wednesday,5,Seasons,unknown,"Engin Altan Düzyatan, Serdar Gökhan, Hülya Darcan, Kaan Taşaner, Esra Bilgiç, Osman Soykut, Serdar Deniz, Cengiz Coşkun, Reshad Strik, Hande Subaşı","When a good deed unwittingly endangers his clan, a 13th-century Turkish warrior agrees to fight a sultan's enemies in exchange for new tribal land."
22,Avvai Shanmughi,Movie,Comedies,"Comedies, International Movies",TV-PG,various,1996,2021,9,21-09-21,Tuesday,161,min,K.S. Ravikumar,"Kamal Hassan, Meena, Gemini Ganesan, Heera Rajgopal, Nassar, S.P. Balasubrahmanyam","Newly divorced and denied visitation rights with his daughter, a doting father disguises himself as a gray-haired nanny in order to spend time with her."
23,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Children & Family Movies,Children & Family Movies,TV-Y,various,2021,2021,9,21-09-21,Tuesday,61,min,"Alex Woo, Stanley Moore","Maisie Benson, Paul Killam, Kerry Gudjohnsen, AC Lim","From arcade games to sled days and hiccup cures, Cory Carson’s curious little sister Chrissy speeds off on her own for fun and adventure all over town!"
24,Jeans,Movie,Comedies,"Comedies, International Movies, Romantic Movies",TV-14,India,1998,2021,9,21-09-21,Tuesday,166,min,S. Shankar,"Prashanth, Aishwarya Rai Bachchan, Sri Lakshmi, Nassar","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
25,Love on the Spectrum,TV Show,Docuseries,"Docuseries, International TV Shows, Reality TV",TV-14,Australia,2021,2021,9,21-09-21,Tuesday,2,Seasons,unknown,Brooke Satchwell,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
26,Minsara Kanavu,Movie,Comedies,"Comedies, International Movies, Music & Musicals",TV-PG,various,1997,2021,9,21-09-21,Tuesday,147,min,Rajiv Menon,"Arvind Swamy, Kajol, Prabhu Deva, Nassar, S.P. Balasubrahmanyam, Girish Karnad",A tangled love triangle ensues when a man falls for a woman studying to become a nun — and she falls for the friend he enlists to help him pursue her.
27,Grown Ups,Movie,Comedies,Comedies,PG-13,United States,2010,2021,9,20-09-21,Monday,103,min,Dennis Dugan,"Adam Sandler, Kevin James, Chris Rock, David Spade, Rob Schneider, Salma Hayek, Maria Bello, Maya Rudolph, Colin Quinn, Tim Meadows, Joyce Van Patten","Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
28,Dark Skies,Movie,Horror Movies,"Horror Movies, Sci-Fi & Fantasy",PG-13,United States,2013,2021,9,19-09-21,Sunday,97,min,Scott Stewart,"Keri Russell, Josh Hamilton, J.K. Simmons, Dakota Goyo, Kadan Rockett, L.J. Benet, Rich Hutchman, Myndy Crist, Annie Thurman, Jake Brennan","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
29,Paranoia,Movie,Thrillers,Thrillers,PG-13,United States,2013,2021,9,19-09-21,Sunday,106,min,Robert Luketic,"Liam Hemsworth, Gary Oldman, Amber Heard, Harrison Ford, Lucas Till, Embeth Davidtz, Julian McMahon, Josh Holloway, Richard Dreyfuss, Angela Sarafyan","Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
30,Ankahi Kahaniya,Movie,Dramas,"Dramas, Independent Movies, International Movies",TV-14,various,2021,2021,9,17-09-21,Friday,111,min,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary","Abhishek Banerjee, Rinku Rajguru, Delzad Hiwale, Kunal Kapoor, Zoya Hussain, Nikhil Dwivedi, Palomi Ghosh","As big city life buzzes around them, lonely souls discover surprising sources of connection and companionship in three tales of love, loss and longing."
31,Chicago Party Aunt,TV Show,TV Comedies,TV Comedies,TV-MA,various,2021,2021,9,17-09-21,Friday,1,Season,unknown,"Lauren Ash, Rory O'Malley, RuPaul Charles, Jill Talley, Ike Barinholtz, Jon Barinholtz, Matthew Craig, Bob Odenkirk, Mike Hagerty, Katie Rich, Chris Witaske",Chicago Party Aunt Diane is an idolized troublemaker with a talent for avoiding adulthood — and a soft spot for her soul-searching nephew.
32,Sex Education,TV Show,British TV Shows,"British TV Shows, International TV Shows, TV Comedies",TV-MA,United Kingdom,2020,2021,9,17-09-21,Friday,3,Seasons,unknown,"Asa Butterfield, Gillian Anderson, Ncuti Gatwa, Emma Mackey, Connor Swindells, Kedar Williams-Stirling, Alistair Petrie","Insecure Otis has all the answers when it comes to sex advice, thanks to his therapist mom. So rebel Maeve proposes a school sex-therapy clinic."
33,Squid Game,TV Show,International TV Shows,"International TV Shows, TV Dramas, TV Thrillers",TV-MA,various,2021,2021,9,17-09-21,Friday,1,Season,unknown,"Lee Jung-jae, Park Hae-soo, Wi Ha-jun, Oh Young-soo, Jung Ho-yeon, Heo Sung-tae, Kim Joo-ryoung, Tripathi Anupam, You Seong-joo, Lee You-mi","Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes."
34,Tayo and Little Wizards,TV Show,Kids' TV,Kids' TV,TV-Y7,various,2020,2021,9,17-09-21,Friday,1,Season,unknown,"Dami Lee, Jason Lee, Bommie Catherine Han, Jennifer Waescher, Nancy Kim",Tayo speeds into an adventure when his friends get kidnapped by evil magicians invading their city in search of a magical gemstone.
35,The Father Who Moves Mountains,Movie,Dramas,"Dramas, International Movies, Thrillers",TV-MA,various,2021,2021,9,17-09-21,Friday,110,min,Daniel Sandu,"Adrian Titieni, Elena Purea, Judith State, Valeriu Andriuță, Tudor Smoleanu, Virgil Aioanei, Radu Botar, Petronela Grigorescu, Bogdan Nechifor, Cristian Bota","When his son goes missing during a snowy hike in the mountains, a retired intelligence officer will stop at nothing — and risk everything — to find him."
36,The Stronghold,Movie,Action & Adventure,"Action & Adventure, Dramas, International Movies",TV-MA,various,2021,2021,9,17-09-21,Friday,105,min,Cédric Jimenez,"Gilles Lellouche, Karim Leklou, François Civil, Adèle Exarchopoulos, Kenza Fortas, Cyril Lecomte, Michaël Abiteboul, Idir Azougli, Vincent Darmuzey, Jean-Yves Berteloot","Tired of the small-time grind, three Marseille cops get a chance to bust a major drug network. But lines blur when a key informant makes a big ask."
37,Angry Birds,TV Show,Kids' TV,"Kids' TV, TV Comedies",TV-Y7,Finland,2018,2021,9,16-09-21,Thursday,1,Season,unknown,"Antti Pääkkönen, Heljä Heikkinen, Lynne Guaglione, Pasi Ruohonen, Rauno Ahonen","Birds Red, Chuck and their feathered friends have lots of adventures while guarding eggs in their nest that pesky pigs keep trying to steal."
38,Birth of the Dragon,Movie,Action & Adventure,"Action & Adventure, Dramas",PG-13,China,2017,2021,9,16-09-21,Thursday,96,min,George Nolfi,"Billy Magnussen, Ron Yuan, Qu Jingjing, Terry Chen, Vanness Wu, Jin Xing, Philip Ng, Xia Yu, Yu Xia","A young Bruce Lee angers kung fu traditionalists by teaching outsiders, leading to a showdown with a Shaolin master in this film based on real events."
39,Chhota Bheem,TV Show,Kids' TV,Kids' TV,TV-Y7,India,2021,2021,9,16-09-21,Thursday,3,Seasons,unknown,"Vatsal Dubey, Julie Tejwani, Rupa Bhimani, Jigna Bhardwaj, Rajesh Kava, Mousam, Swapnil","A brave, energetic little boy with superhuman powers leads his friends on exciting adventures to guard their fellow Dholakpur villagers from evil."
40,He-Man and the Masters of the Universe,TV Show,Kids' TV,"Kids' TV, TV Sci-Fi & Fantasy",TV-Y7,United States,2021,2021,9,16-09-21,Thursday,1,Season,unknown,"Yuri Lowenthal, Kimberly Brooks, Antony Del Rio, Trevor Devall, Ben Diskin, Grey Griffin, David Kaye, Tom Kenny, Judy Alice Lee, Roger Craig Smith, Fred Tatasciore",Mighty teen Adam and his heroic squad of misfits discover the legendary power of Grayskull — and their destiny to defend Eternia from sinister Skeletor.
41,Jaws,Movie,Action & Adventure,"Action & Adventure, Classic Movies, Dramas",PG,United States,1975,2021,9,16-09-21,Thursday,124,min,Steven Spielberg,"Roy Scheider, Robert Shaw, Richard Dreyfuss, Lorraine Gary, Murray Hamilton, Carl Gottlieb, Jeffrey Kramer, Susan Backlinie, Jonathan Filley, Ted Grossman","When an insatiable great white shark terrorizes Amity Island, a police chief, an oceanographer and a grizzled shark hunter seek to destroy the beast."
42,Jaws 2,Movie,Dramas,"Dramas, Horror Movies, Thrillers",PG,United States,1978,2021,9,16-09-21,Thursday,116,min,Jeannot Szwarc,"Roy Scheider, Lorraine Gary, Murray Hamilton, Joseph Mascolo, Jeffrey Kramer, Collin Wilcox Paxton, Ann Dusenberry, Mark Gruner, Barry Coe, Susan French","Four years after the last deadly shark attacks, police chief Martin Brody fights to protect Amity Island from another killer great white."
43,Jaws 3,Movie,Action & Adventure,"Action & Adventure, Horror Movies, Thrillers",PG,United States,1983,2021,9,16-09-21,Thursday,98,min,Joe Alves,"Dennis Quaid, Bess Armstrong, Simon MacCorkindale, Louis Gossett Jr., John Putch, Lea Thompson, P.H. Moriarty, Dan Blasko, Liz Morris, Lisa Maurer","After the staff of a marine theme park try to capture a young great white shark, they discover its mother has invaded the enclosure and is out for blood."
44,Jaws: The Revenge,Movie,Action & Adventure,"Action & Adventure, Horror Movies, Thrillers",PG-13,United States,1987,2021,9,16-09-21,Thursday,91,min,Joseph Sargent,"Lorraine Gary, Lance Guest, Mario Van Peebles, Karen Young, Michael Caine, Judith Barsi, Mitchell Anderson, Lynn Whitfield","After another deadly shark attack, Ellen Brody has had enough of Amity Island and moves to the Caribbean – but a great white shark follows her there."
45,My Heroes Were Cowboys,Movie,Documentaries,Documentaries,PG,various,2021,2021,9,16-09-21,Thursday,23,min,Tyler Greco,Not listed,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
46,Safe House,Movie,Action & Adventure,Action & Adventure,R,South Africa,2012,2021,9,16-09-21,Thursday,115,min,Daniel Espinosa,"Denzel Washington, Ryan Reynolds, Vera Farmiga, Brendan Gleeson, Sam Shepard, Rubén Blades, Nora Arnezeder, Robert Patrick, Liam Cunningham, Joel Kinnaman",Young CIA operative Matt Weston must get a dangerous criminal out of an agency safe house that's come under attack and get him to a securer location.
47,The Smart Money Woman,TV Show,International TV Shows,"International TV Shows, Romantic TV Shows, TV Comedies",TV-MA,various,2020,2021,9,16-09-21,Thursday,1,Season,Bunmi Ajakaiye,"Osas Ighodaro, Ini Dima-Okojie, Kemi Lala Akindoju, Toni Tones, Ebenezer Eno, Eso Okolocha DIke, Patrick Diabuah, Karibi Fubara, Temisan Emmanuel, Timini Egbuson","Five glamorous millennials strive for success as they juggle careers, finances, love and friendships. Based on Arese Ugwu's 2016 best-selling novel."
48,Training Day,Movie,Dramas,"Dramas, Thrillers",R,United States,2001,2021,9,16-09-21,Thursday,122,min,Antoine Fuqua,"Denzel Washington, Ethan Hawke, Scott Glenn, Tom Berenger, Harris Yulin, Raymond J. Barry, Cliff Curtis, Dr. Dre, Snoop Dogg, Macy Gray, Eva Mendes",A rookie cop with one day to prove himself to a veteran LAPD narcotics officer receives a crash course in his mentor's questionable brand of justice.
49,Castle and Castle,TV Show,International TV Shows,"International TV Shows, TV Dramas",TV-MA,Nigeria,2021,2021,9,15-09-21,Wednesday,2,Seasons,unknown,"Richard Mofe-Damijo, Dakore Akande, Bimbo Manuel, Blossom Chukwujekwu, Deyemi Okanlawon, Etim Effiong, Denola Grey, Duke Akintola, Eku Edewor, Ade Laoye, Anee Icha, Kevin Ushi, Jude Chukwuka, Amanda Afolabi","A pair of high-powered, successful lawyers find themselves defending opposite interests of the justice system, causing a strain on their happy marriage."
50,Dharmakshetra,TV Show,International TV Shows,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",TV-PG,India,2014,2021,9,15-09-21,Wednesday,1,Season,unknown,"Kashmira Irani, Chandan Anand, Dinesh Mehta, Ankit Arora, Pushkar Goggiaa, Anjali Rana, Aarya DharmChand Kumar, Amit Behl, Maleeka Ghai","After the ancient Great War, the god Chitragupta oversees a trial to determine who were the battle's true heroes and villains."
51,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-14,Japan,2002,2021,9,15-09-21,Wednesday,99,min,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
52,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-14,Japan,2003,2021,9,15-09-21,Wednesday,99,min,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
53,InuYasha the Movie 4: Fire on the Mystic Island,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-PG,Japan,2004,2021,9,15-09-21,Wednesday,88,min,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Ken Narita, Cho, Mamiko Noto, Nobutoshi Canna","Ai, a young half-demon who has escaped from Horai Island to try to help her people, returns with potential saviors InuYasha, Sesshomaru and Kikyo."
54,InuYasha the Movie: Affections Touching Across Time,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-PG,Japan,2001,2021,9,15-09-21,Wednesday,100,min,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Kenichi Ogata, Noriko Hidaka, Hisako Kyoda, Ken Narita, Tomokazu Seki","A powerful demon has been sealed away for 200 years. But when the demon's son is awakened, the fate of the world is in jeopardy."
55,Nailed It,TV Show,Reality TV,Reality TV,TV-PG,United States,2021,2021,9,15-09-21,Wednesday,6,Seasons,unknown,"Nicole Byer, Jacques Torres","Home bakers with a terrible track record take a crack at re-creating edible masterpieces for a $10,000 prize. It's part reality contest, part hot mess."
56,Naruto Shippuden the Movie: Blood Prison,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-14,Japan,2011,2021,9,15-09-21,Wednesday,102,min,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Rikiya Koyama, Kazuhiko Inoue, Masaki Terasoma, Mie Sonozaki, Yuichi Nakamura, Kengo Kawanishi, Kosei Hirota, Masako Katsuki","Mistakenly accused of an attack on the Fourth Raikage, ninja Naruto is imprisoned in the impenetrable Hozuki Castle and his powers are sealed."
57,Naruto Shippûden the Movie: Bonds,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-PG,Japan,2008,2021,9,15-09-21,Wednesday,93,min,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Noriaki Sugiyama, Unsho Ishizuka, Motoko Kumai, Kazuhiko Inoue, Rikiya Koyama, Showtaro Morikubo, Nana Mizuki, Satoshi Hino, Shinji Kawada","When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
58,Naruto Shippûden the Movie: The Will of Fire,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-PG,Japan,2009,2021,9,15-09-21,Wednesday,96,min,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Kazuhiko Inoue, Satoshi Hino, Showtaro Morikubo, Kentaro Ito, Ryoka Yuzuki, Kohsuke Toriumi, Nana Mizuki, Shinji Kawada, Yoichi Masukawa, Koichi Tochika, Yukari Tamura","When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
59,Naruto Shippuden: The Movie,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-PG,Japan,2007,2021,9,15-09-21,Wednesday,95,min,Hajime Kamegaki,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Koichi Tochika, Ayumi Fujimura, Keisuke Oda, Daisuke Kishio, Fumiko Orikasa, Hidetoshi Nakamura, Tetsuya Kakihara, Kisho Taniyama, Miyuki Sawashiro, Katsuyuki Konishi, Masako Katsuki, Keiko Nemoto, Masashi Ebara, Kazuhiko Inoue, Showtaro Morikubo, Romi Park, Daisuke Ono, Seizo Kato","The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
60,Naruto Shippuden: The Movie: The Lost Tower,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-14,Japan,2010,2021,9,15-09-21,Wednesday,85,min,Masahiko Murata,"Junko Takeuchi, Chie Nakamura, Satoshi Hino, Rikiya Koyama, Nobuaki Fukuda, Kenji Hamada, Keiko Nemoto, Saori Hayami, Yumi Toma, Yuko Kobayashi, Fujiko Takimoto, Mutsumi Tamura, Mayuki Makiguchi, Toshiyuki Morikawa","When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
61,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-PG,Japan,2005,2021,9,15-09-21,Wednesday,97,min,Hirotsugu Kawasaki,"Junko Takeuchi, Gamon Kaai, Chie Nakamura, Showtaro Morikubo, Akira Ishida, Yasuyuki Kase, Urara Takano, Sachiko Kojima, Houko Kuwashima, Takako Honda","While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
62,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Action & Adventure,"Action & Adventure, Anime Features, International Movies",TV-PG,Japan,2006,2021,9,15-09-21,Wednesday,95,min,Toshiyuki Tsuru,"Junko Takeuchi, Chie Nakamura, Yoichi Masukawa, Kazuhiko Inoue, Akio Otsuka, Kyousuke Ikeda, Marika Hayashi, Umeji Sasaki, Masashi Sugawara, Hisao Egawa","Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
